Date,Open,High,Low,Close,Volume
23-Oct-14,25.25,25.29,25.18,25.24,163287
22-Oct-14,25.23,25.27,25.18,25.20,205742
21-Oct-14,25.12,25.23,25.12,25.18,188204
20-Oct-14,25.18,25.19,24.93,25.09,460934
17-Oct-14,25.44,25.54,25.03,25.05,2806167
16-Oct-14,25.22,25.40,25.22,25.36,136008
15-Oct-14,25.35,25.55,25.20,25.30,87735
14-Oct-14,25.60,25.73,25.43,25.59,222595
13-Oct-14,25.40,25.74,25.40,25.64,71118
10-Oct-14,25.51,25.51,25.10,25.34,134636
9-Oct-14,25.62,25.67,25.45,25.49,285229
8-Oct-14,25.59,25.63,25.50,25.62,197049
7-Oct-14,25.53,25.64,25.53,25.57,68094
6-Oct-14,25.65,25.69,25.56,25.61,228766
3-Oct-14,25.60,25.63,25.52,25.63,130991
2-Oct-14,25.59,25.59,25.43,25.51,46230
1-Oct-14,25.49,25.70,25.38,25.50,81414
30-Sep-14,25.37,25.49,25.30,25.49,247144
29-Sep-14,25.34,25.40,25.30,25.36,188978
26-Sep-14,25.39,25.39,25.18,25.34,229901
25-Sep-14,25.38,25.47,25.28,25.35,198459
24-Sep-14,25.38,25.39,25.30,25.38,78851
23-Sep-14,25.35,25.40,25.26,25.37,195507
22-Sep-14,25.49,25.50,25.34,25.37,154055
19-Sep-14,25.40,25.50,25.40,25.47,100343
18-Sep-14,25.30,25.48,25.26,25.40,1217184
17-Sep-14,25.26,25.35,25.18,25.30,268528
16-Sep-14,25.05,25.81,25.04,25.20,321154
15-Sep-14,25.12,25.15,24.10,25.10,744556
12-Sep-14,25.00,25.15,24.90,25.07,507541
11-Sep-14,24.95,25.16,24.82,25.12,584259
10-Sep-14,24.92,24.98,24.82,24.95,965209
